BuildingCode,Longitude,Latitude
2403000744,125.559328,10.3203686
2403000746,125.559462,10.3200275
2403000747,125.5594411,10.3200991
2403000748,125.5594498,10.3200991
2403000749,125.559422,10.3200432
2403000752,125.5594218,10.321248
2403000753,125.5594259,10.3212519
2403000756,125.5591071,10.3204026
2403000757,125.5594273,10.3212486
2403000758,125.5594098,10.3212883
2403000759,125.5590436,10.3216127
2403000760,125.5519471,10.30773
2403000763,125.5580913,10.3231552
2403000764,125.5580913,10.3231552
2403000765,125.5580913,10.3231552
2403000767,125.5580913,10.3231552
2403000768,125.5580913,10.3231552
2403000769,125.5580913,10.3231552
2403000770,125.5645867,10.3134417
2403000772,125.5635267,10.3133833
2403000773,125.5594032,10.32065892
2403000774,125.5580913,10.3231552
2403000866,125.5594592,10.3200161
2403000867,125.5594775,10.3200282
2403000869,125.5582494,10.3196381
2403000870,125.5582572,10.3196337
2403000871,125.5582314,10.3196234
2403000872,125.5582523,10.3196354
2403000873,125.5582441,10.3196343
2403000874,125.5581873,10.3195915
2403000875,125.5581885,10.3195986
2403000876,125.5581832,10.3195943
2403000877,125.5582529,10.3196403
2403000878,125.5579804,10.319524
2403000879,125.5581744,10.3195899
2403000880,125.5582486,10.3196371
2403000881,125.5582329,10.319625
2403000883,125.5570915,10.3192293
2403000884,125.557015,10.3192448
2403000885,125.5582441,10.3196385
2403000886,125.557177,10.3193083
2403000887,125.5570212,10.3190865
2403000888,125.5570376,10.3191268
2403000889,125.5570325,10.3191287
2403000890,125.557039,10.3191914
2403000891,125.557032,10.3192253
2403000892,125.5629452,10.30903886
2403000893,125.5570606,10.3192131
2403000894,125.5570501,10.3192158
2403000895,125.5570534,10.3191983
2403000896,125.5570315,10.3192158
2403000897,125.5570543,10.3192145
2403000898,125.558051,10.3196868
2403000899,125.5570583,10.319199
2403000900,125.5570119,10.3192363
2403000901,125.5570324,10.3192314
2403000902,125.5570557,10.3192148
2403000903,125.5570355,10.3190832
2403000904,125.5570226,10.3190927
2403000905,125.5582479,10.3192489
2403000906,125.5570469,10.3192143
2403000907,125.5570489,10.31921
2403000908,125.557058,10.319195
2403000909,125.5580238,10.3192416
2403000910,125.557129,10.3191031
2403000911,125.5570392,10.3192177
2403000912,125.5570457,10.3191793
2403000917,125.5581732,10.3192651
2403000919,125.5582104,10.3193259
2403000920,125.558242,10.319166
2403000921,125.5583179,10.3190162
2403000922,125.5580987,10.3187644
2403000925,125.5847636,10.3168268
2403000926,125.5581282,10.3191924
2403000927,125.558115,10.3192483
2403000928,125.5579415,10.3191527
2403000929,125.5580429,10.3193054
2403000930,125.5579938,10.3192623
2403000932,125.5581318,10.318753
2403000933,125.5581407,10.3187573
2403000934,125.5581081,10.3195371
2403000935,125.5581118,10.3195371
2403000997,125.5558515,10.3297337
